Part Number,XC3S50A,XC3S50AN,XC3S200A,XC3S200AN,XC3S400A,XC3S400AN,XC3S700A,XC3S700AN,XC3S1400A,XC3S1400AN,XC3SD1800A,XC3SD3400A
System Gates,50K,,200K,,400K,,700K,,1400K,,1800K,3400K
Logic Cells,1584,,4032,,8064,,13248,,25344,,37440,53712
CLBs,176,,448,,896,,1472,,2816,,4160,5968
Slices,704,,1792,,3584,,5888,,11264,,16640,23872
Distributed RAM Bits,11K,,28K,,56K,,92K,,176K,,260K,373K
Block RAM Bits,54K,,288K,,360K,,360K,,576K,,1512K,2268K
In-System Flash Bits,1M,,4M,,4M,,8M,,16M,,n/a,n/a
Dedicated Multipliers,3,,16,,20,,20,,32,,n/a,n/a
DSP48As,n/a,,n/a,,n/a,,n/a,,n/a,,84,126
DCMs,2,,4,,4,,8,,8,,8,8
Maximum User I/O,144,,248,,311,,372,,502,,519,469
###,Available I/O Pins,,,,,,,,,,,
VQ100,68,68,68,68,           ,           ,           ,           ,           ,           ,           ,           
VQG100,68,68,68,68,           ,           ,           ,           ,           ,           ,           ,           
TQ144,108,108,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TQG144,108,108,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FT256,144,144,195,195,195,195,161,161,161,161,           ,           
FTG256,144,144,195,195,195,195,161,161,161,161,           ,           
FG320,           ,,248,248,251,251,           ,           ,           ,           ,           ,           
FGG320,           ,,248,248,251,251,           ,           ,           ,           ,           ,           
FG400,           ,,           ,,311,311,311,311,           ,           ,           ,           
FGG400,           ,,           ,,311,311,311,311,           ,           ,           ,           
CS484,           ,,           ,,           ,,           ,           ,           ,           ,309,309
CSG484,           ,,           ,,           ,,           ,           ,           ,           ,309,309
FG484,           ,,           ,,           ,,372,372,375,375,           ,           
FGG484,           ,,           ,,           ,,372,372,375,375,           ,           
FG676, ,, ,, ,, ,,502,502,519,469
FGG676, ,, ,, ,, ,,502,502,519,469
