Part Prefix,XC6SLX4,XC6SLX9,XC6SLX16,XC6SLX25,XC6SLX45,XC6SLX75,XC6SLX100,XC6SLX150,XC6SLX25T,XC6SLX45T,XC6SLX75T,XC6SLX100T,XC6SLX150T
Slices,600,1430,2278,3758,6822,11662,15822,23038,3758,6822,11662,15822,23038
Logic Cells,3840,9152,14579,24051,43661,74637,101261,147443,24051,43661,74637,101261,147443
CLB Flip-Flops,4800,11440,18224,30064,54576,93296,126576,184304,30064,54576,93296,126576,184304
Maximum Distributed RAM (Kb),75,90,136,229,401,692,976,1355,229,401,692,976,1355
Black RAM (18 Kb each),12,32,32,52,116,172,268,268,52,116,172,268,268
Total Block RAM (Kb),216,576,576,936,2088,3096,4824,4824,936,2088,3096,4824,4824
Clock Management Tiles (CMT),2,2,2,2,4,6,6,6,2,4,6,6,6
Maximum Single-Ended Pins,132,200,232,266,358,408,480,576,250,296,348,498,540
Maximum Differential Pairs,66,100,116,133,179,204,240,288,125,148,174,249,270
DSP48A Slices,8,16,32,38,58,132,180,180,38,58,132,180,180
Endpoint Block for PCI Express,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,1,1,1,1
Memory Controller Blocks,0,2,2,2,2,4,4,4,2,2,4,4,4
GTP Low Power Transceivers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,4,8,8,8
Speed Grades,"-1L, -2, -3","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-1L, -2, -3, -3N","-2, -3, -3N","-2, -3, -3N","-2, -3, -3N","-2, -3, -3N","-2, -3, -3N"
Temperature Ratings,"C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I","C, I"
Configuration Memory (Mb),2.7,2.7,3.7,6.4,11.9,19.6,26.5,33.8,6.4,11.9,19.6,26.5,33.8
###,,,,,,,,,,,,,
CPG196,106,106,106,,,,,,,,,,
TQG144,102,102,,,,,,,,,,,
CSG225,132,160,160,,,,,,,,,,
CSG324,,200,232,226,218,,,,190,190,,,
CSG484,,,,,320,328,338,338,,296,292,296,296
FTG256,,186,186,186,,,,,,,,,
FGG484,,,,,316,280,326,338,250,296,268,296,296
FGG676,,,,,358,408,480,498,,,348,376,396
FGG900,,,,,,,,576,,,,498,540
