Part Number,XC7V585T,XC7V2000T,XC7VX330T,XC7VX415T,XC7VX485T,XC7VX550T,XC7VX690T,XC7VX980T,XC7VX1140T,XC7VH580T,XC7VH870T
Cost Reduction Part,XCE7V585T,n/a,XCE7VX330T,XCE7VX415T,XCE7VX485T,XCE7VX550T,XCE7VX690T,XCE7VX980T,n/a,n/a,n/a
Slices,91050,305400,51000,64400,75900,86600,108300,153000,178000,90700,136900
Logic Cells,582720,1954560,326400,412160,485760,554240,693120,979200,1139200,580480,876160
CLB Flip-Flops,728400,2443200,408000,515200,607200,692800,866400,1224000,1424000,725600,1095200
Max Distributed RAM (Kbit),6938,21550,4388,6525,8175,8725,10888,13838,17700,8850,13275
Block Ram/FIFO w/ ECC (36 Kbit each),795,1292,750,880,1030,1180,1470,1500,1880,940,1410
Total Block RAM (Kbit),28620,46512,27000,31680,37080,42480,52920,54000,67680,33840,50760
Clock Management Tiles (1 MMCM + 1 PLL),18,24,14,12,14,20,20,18,24,12,18
Max Single-Ended I/O Pins,850,1200,700,600,700,600,1000,880,1100,600,650
Max Differential I/O Pairs,408,576,336,288,336,288,480,432,528,288,312
Total I/O Banks,17,24,14,12,14,16,20,18,22,12,13
DSP48E1 Slices,1260,2160,1120,2160,2800,2880,3600,3600,3360,1680,2520
PCI Express Gen2,3,4,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a
PCI Express Gen3,n/a,n/a,2,2,n/a,2,3,3,4,2,3
GTX 12.5 Gb/s Transceivers,36,36,0,0,56,0,0,0,0,0,0
GTH 13.1 Gb/s Transceivers,0,0,28,48,0,80,80,72,96,48,72
GTZ 28.05 Gb/s Transceivers,0,0,0,0,0,0,0,0,0,8,16
SLRs,n/a,4,n/a,n/a,n/a,n/a,n/a,n/a,4,2,3
###,"HR, HP (GTX, GTH)",,,,,,,,,,
FFG1157,"0, 600 (20, 0)",                 ,"0, 600 (0, 20)","0, 600 (0, 20)","0, 600 (20, 0)",             ,"0, 600 (0, 20)",             ,             ,,
FFG1761,"100, 750 (36, 0)",               ,"50, 650 (0, 28)",               ,"0, 700 (28, 0)",      ,"0, 850 (0, 36)",               ,               ,,
FHG1761,        ,"0, 850 (36, 0)",           ,           ,           ,           ,           ,           ,           ,,
FLG1925,        ,"0, 1200 (16, 0)",           ,           ,           ,           ,           ,           ,           ,,
FFG1158,        , ,           ,"0, 350 (0, 48)","0, 350 (48, 0)","0, 350 (0, 48)","0, 350 (0, 48)",           ,           ,,
FFG1926,        ,           ,           ,           ,           ,           ,"0, 720 (0, 64)","0, 720 (0, 64)",           ,,
FLG1926,        ,           ,           ,           ,           ,           ,           ,           ,"0, 720 (0, 64)",,
FFG1927,        ,           ,           ,"0, 600 (0, 48)","0, 600 (56, 0)","0, 600 (0, 80)","0, 600 (0, 80)", , ,,
FFG1928,        ,           ,           ,           ,           ,           ,           ,"0, 480 (0, 72)", ,,
FLG1928,        ,           ,           ,           ,           ,           ,           ,           ,"0, 480 (0, 96)",,
FFG1930,        ,           ,           ,           ,"0, 700 (0, 24)",           ,"0, 1000 (0, 24)","0, 900 (0, 24)", ,,
FLG1930, ,           ,     ,,,,     ,,"0, 1100 (0, 24)",,
HCG1155,,,,,,,,,,"0, 400 (34 GTH, 8 GTZ)",
HCG1931,,,,,,,,,,"0, 600 (48 GTH, 8 GTZ)","0, 650 (48 GTH, 8 GTZ)"
HCG1932,,,,,,,,,,"0, 300 (48 GTH, 8 GTZ)","0, 300 (72 GTH, 16 GTZ)"
